"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs8008540-<b>C</b>,"8 x 10-11",,0.5688,'-,"0.0301 unit increase",[0.021-0.039],NPC2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,14:74481477
rs2056857-<b>C</b>,"3 x 10-8",,0.5944,'-,"0.0261 unit increase",[0.017-0.035],LRRC74A,"Type 2 diabetes","type II diabetes mellitus",GCST010555,14:76834520
rs73347525-<b>G</b>,"7 x 10-9",,0.1897,'-,"0.0485 unit decrease",[0.032-0.065],MEG3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,14:100788835
rs11639470-<b>G</b>,"1 x 10-8",,0.4531,'-,"0.0266 unit decrease",[0.017-0.036],C15orf54,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:39346970
rs74804697-<b>G</b>,"5 x 10-12",,0.0434,'-,"0.0837 unit decrease",[0.06-0.107],"MYO5C, MYO5A","Type 2 diabetes","type II diabetes mellitus",GCST010555,15:52296525
rs12917449-<b>C</b>,"5 x 10-10",,0.197,'-,"0.0364 unit increase",[0.025-0.048],PML,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:74039318
rs36111056-<b>G</b>,"2 x 10-9",,0.7802,'-,"0.0341 unit increase",[0.023-0.045],FSD2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:82793121
rs4984980-<b>G</b>,"4 x 10-9",,0.8117,'-,"0.0351 unit decrease",[0.023-0.047],LMF1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:918292
rs9927842-<b>C</b>,"7 x 10-9",,0.8384,'-,"0.0375 unit decrease",[0.025-0.05],PDXDC1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:15059860
rs11646052-<b>G</b>,"3 x 10-8",,0.3918,'-,"0.0263 unit increase",[0.017-0.036],GINS2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:85682857
rs11117364-<b>G</b>,"8 x 10-9",,0.6655,'-,"0.029 unit increase",[0.019-0.039],"BANP, LINC02182","Type 2 diabetes","type II diabetes mellitus",GCST010555,16:88098593
rs11870735-<b>C</b>,"2 x 10-8",,0.8178,'-,"0.0339 unit decrease",[0.022-0.046],VPS53,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:578364
rs2243102-<b>C</b>,"5 x 10-8",,0.4224,'-,"0.0255 unit increase",[0.016-0.035],"GP1BA, SLC25A11","Type 2 diabetes","type II diabetes mellitus",GCST010555,17:4935854
rs7220340-<b>G</b>,"4 x 10-9",,0.545,'-,"0.0272 unit decrease",[0.018-0.036],"TWF1P1, CRYBA1","Type 2 diabetes","type II diabetes mellitus",GCST010555,17:29239308
rs4796224-<b>G</b>,"3 x 10-8",,0.4738,'-,"0.0252 unit increase",[0.016-0.034],ZNHIT3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:36486677
rs11078916-<b>C</b>,"5 x 10-13",,0.7039,'-,"0.0373 unit decrease",[0.027-0.047],"NEUROD2, CDK12","Type 2 diabetes","type II diabetes mellitus",GCST010555,17:39590054
rs61736066-<b>G</b>,"2 x 10-9",,0.9165,'-,"0.0506 unit increase",[0.034-0.067],SLC39A11,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:72648893
rs62075585-<b>G</b>,"1 x 10-10",,0.4735,'-,"0.0295 unit increase",[0.02-0.039],CYTH1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:78765957
rs303760-<b>C</b>,"1 x 10-12",,0.6522,'-,"0.0342 unit decrease",[0.025-0.044],RMC1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,18:23503774
rs75886247-<b>?</b>,"5 x 10-6",(EA),'-,1.45,'-,[1.29-1.63],NPHP4,"Chronic kidney disease in type 2 diabetes","chronic kidney disease, type II diabetes mellitus",GCST005882,1:5975370
rs17151401-<b>?</b>,"3 x 10-6",(EA),'-,1.31,'-,[1.12-1.53],ATXN7L1,"Chronic kidney disease in type 2 diabetes","chronic kidney disease, type II diabetes mellitus",GCST005882,7:105705501
rs12251637-<b>?</b>,"8 x 10-6",(EA),'-,1.5,'-,[1.16-1.94],LHPP,"Chronic kidney disease in type 2 diabetes","chronic kidney disease, type II diabetes mellitus",GCST005882,10:124549008
rs73206603-<b>?</b>,"1 x 10-7",(EA),'-,1.83,'-,[1.17-2.87],RNU7-88P,"End-stage renal disease in type 2 diabetes","chronic kidney disease, type II diabetes mellitus",GCST005885,13:59495931
rs117897666-<b>?</b>,"3 x 10-7",(EA),'-,3.02,'-,[0.95-9.59],"INSYN1-AS1, TBC1D21","End-stage renal disease in type 2 diabetes","chronic kidney disease, type II diabetes mellitus",GCST005885,15:73811619
rs74796791-<b>?</b>,"5 x 10-6",(EA),'-,2.04,'-,[1.13-3.70],TBC1D5,"Late diabetic kidney disease in type 2 diabetes","diabetic nephropathy, type II diabetes mellitus",GCST005887,3:17161837
rs158342-<b>?</b>,"7 x 10-6",(EA),'-,1.25,'-,[1.15-1.36],"RNU6ATAC2P, HMGN1P17","Late diabetic kidney disease in type 2 diabetes","diabetic nephropathy, type II diabetes mellitus",GCST005887,5:56329506
chr11:81277664:D-<b>?</b>,"3 x 10-6",(EA),'-,1.28,'-,[1.14-1.44],'-,"Late diabetic kidney disease in type 2 diabetes","diabetic nephropathy, type II diabetes mellitus",GCST005887,"Mapping not available"
rs158342-<b>?</b>,"4 x 10-6",,'-,1.24,'-,[1.15-1.34],"RNU6ATAC2P, HMGN1P17","Late diabetic kidney disease in type 2 diabetes","diabetic nephropathy, type II diabetes mellitus",GCST005887,5:56329506
rs9942471-<b>A</b>,"5 x 10-8",(EA),0.64,1.25,'-,[1.16-1.34],"GABRR2, GABRR1","Early diabetic kidney disease in type 2 diabetes","diabetic nephropathy, type II diabetes mellitus",GCST005889,6:89238513
rs10224002-<b>?</b>,"8 x 10-7",(EA),'-,'-,"2.13 unit increase",[1.28-2.98],PRKAG2,"Glomerular filtration rate in type 2 diabetes","glomerular filtration rate, type II diabetes mellitus",GCST005892,7:151717955
rs13333226-<b>?</b>,"2 x 10-9",(EA),'-,'-,"2.68 unit increase",[1.80-3.55],UMOD,"Glomerular filtration rate in type 2 diabetes","glomerular filtration rate, type II diabetes mellitus",GCST005892,16:20354332
rs4289202-<b>?</b>,"4 x 10-6",,'-,'-,"2.51 unit increase",[1.44-3.58],"RN7SKP179, LINC01889","Glomerular filtration rate in type 2 diabetes","glomerular filtration rate, type II diabetes mellitus",GCST005892,2:125848518
rs115114609-<b>?</b>,"7 x 10-7",,'-,'-,"5.8 unit increase",[3.51-8.09],"LINC00461, TMEM161B-AS1","Glomerular filtration rate in type 2 diabetes","glomerular filtration rate, type II diabetes mellitus",GCST005892,5:88448197
rs864745-<b>C</b>,"1 x 10-8",,0.257,'-,"0.083 unit decrease",[0.056-0.11],JAZF1,"Type 2 diabetes","type II diabetes mellitus",GCST010556,7:28140937
rs2908274-<b>G</b>,"5 x 10-11",,0.359,'-,"0.089 unit decrease",[0.062-0.116],GCK,"Type 2 diabetes","type II diabetes mellitus",GCST010556,7:44145489
rs12550613-<b>G</b>,"6 x 10-16",,0.31,'-,"0.114 unit decrease",[0.087-0.141],"ANK1, NKX6-3","Type 2 diabetes","type II diabetes mellitus",GCST010556,8:41652741
rs60461843-<b>T</b>,"1 x 10-9",,0.939,'-,"0.172 unit increase",[0.12-0.23],SLC30A8,"Type 2 diabetes","type II diabetes mellitus",GCST010556,8:117154088
rs28562046-<b>G</b>,"3 x 10-8",,0.709,'-,"0.08 unit increase",[0.053-0.107],GPSM1,"Type 2 diabetes","type II diabetes mellitus",GCST010556,9:136347142
rs7903146-<b>C</b>,"6 x 10-60",,0.706,'-,"0.226 unit decrease",[0.2-0.25],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST010556,10:112998590
rs231361-<b>G</b>,"2 x 10-9",,0.656,'-,"0.08 unit decrease",[0.055-0.105],"KCNQ1, KCNQ1OT1","Type 2 diabetes","type II diabetes mellitus",GCST010556,11:2670270
rs2237897-<b>C</b>,"2 x 10-9",,0.908,'-,"0.143 unit increase",[0.096-0.19],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST010556,11:2837316
rs2583938-<b>T</b>,"3 x 10-12",,0.197,'-,"0.123 unit decrease",[0.088-0.158],RPSAP52,"Type 2 diabetes","type II diabetes mellitus",GCST010556,12:65821434
rs952471-<b>G</b>,"4 x 10-9",,0.534,'-,"0.077 unit increase",[0.052-0.102],HMG20A,"Type 2 diabetes","type II diabetes mellitus",GCST010556,15:77484156
rs62033400-<b>G</b>,"6 x 10-13",,0.102,'-,"0.151 unit increase",[0.11-0.19],FTO,"Type 2 diabetes","type II diabetes mellitus",GCST010556,16:53777876
rs79489938-<b>G</b>,"5 x 10-8",,0.986,'-,"0.1131 unit increase",[0.073-0.154],ACP6,"Type 2 diabetes","type II diabetes mellitus",GCST010555,1:147649198
rs9842137-<b>C</b>,"9 x 10-9",,0.9969,'-,"0.4254 unit decrease",[0.28-0.57],SUMF1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:3608166
rs11129735-<b>G</b>,"2 x 10-8",,0.5383,'-,"0.026 unit decrease",[0.017-0.035],TRANK1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:36828739
rs11716527-<b>C</b>,"7 x 10-9",,0.0945,'-,"0.0492 unit increase",[0.033-0.066],U3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:89937130
rs181752889-<b>C</b>,"2 x 10-9",,0.996,'-,"0.2822 unit decrease",[0.19-0.37],"ACAD9, MARK2P6","Type 2 diabetes","type II diabetes mellitus",GCST010555,3:128860481
rs7656001-<b>G</b>,"1 x 10-8",,0.4499,'-,"0.026 unit decrease",[0.017-0.035],CCSER1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:90322714
rs4714422-<b>G</b>,"5 x 10-8",,0.2387,'-,"0.0293 unit increase",[0.019-0.04],OARD1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,6:41044666
rs4721089-<b>C</b>,"8 x 10-10",,0.2432,'-,"0.034 unit decrease",[0.023-0.045],MAD1L1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,7:1833285
rs798549-<b>C</b>,"1 x 10-8",,0.282,'-,"0.0295 unit increase",[0.019-0.04],AMZ1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,7:2721116
rs117173251-<b>C</b>,"2 x 10-8",,0.9673,'-,"0.077 unit decrease",[0.05-0.104],CSMD1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,8:4329209
rs1752169-<b>C</b>,"2 x 10-9",,0.7305,'-,"0.0317 unit decrease",[0.021-0.042],DENND1A,"Type 2 diabetes","type II diabetes mellitus",GCST010555,9:123824284
rs12773019-<b>G</b>,"5 x 10-8",,0.0275,'-,"0.0885 unit increase",[0.057-0.12],SPOCK2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,10:72075516
rs480840-<b>C</b>,"4 x 10-8",,0.4232,'-,"0.0254 unit increase",[0.016-0.034],XRRA1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,11:74914952
rs9319382-<b>C</b>,"3 x 10-8",,0.6786,'-,"0.0276 unit increase",[0.018-0.037],POLR1D,"Type 2 diabetes","type II diabetes mellitus",GCST010555,13:27670990
rs36051838-<b>C</b>,"5 x 10-8",,0.0888,'-,"0.044 unit increase",[0.028-0.06],LINC00838,"Type 2 diabetes","type II diabetes mellitus",GCST010555,10:33729802
rs12263348-<b>C</b>,"8 x 10-9",,0.6615,'-,"0.0282 unit decrease",[0.019-0.038],REEP3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,10:63545492
rs10998304-<b>C</b>,"2 x 10-11",,0.4517,'-,"0.0306 unit increase",[0.022-0.039],TET1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,10:68583018
rs827237-<b>C</b>,"4 x 10-10",,0.795,'-,"0.0365 unit decrease",[0.025-0.048],"LINC02622, PCBD1","Type 2 diabetes","type II diabetes mellitus",GCST010555,10:70888579
rs11201999-<b>C</b>,"1 x 10-8",,0.5369,'-,"0.0259 unit increase",[0.017-0.035],GRID1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,10:86364744
rs10882891-<b>C</b>,"2 x 10-11",,0.4153,'-,"0.0313 unit increase",[0.022-0.041],"Metazoa_SRP, RPL12P27","Type 2 diabetes","type II diabetes mellitus",GCST010555,10:97299888
rs2250301-<b>G</b>,"1 x 10-9",,0.7481,'-,"0.0322 unit increase",[0.022-0.043],WBP1L,"Type 2 diabetes","type II diabetes mellitus",GCST010555,10:102788636
rs10787287-<b>C</b>,"7 x 10-11",,0.2411,'-,"0.036 unit decrease",[0.025-0.047],PDCD4,"Type 2 diabetes","type II diabetes mellitus",GCST010555,10:110887437
rs10769936-<b>C</b>,"6 x 10-12",,0.7074,'-,"0.0349 unit increase",[0.025-0.045],TRIM66,"Type 2 diabetes","type II diabetes mellitus",GCST010555,11:8632981
rs2403221-<b>G</b>,"6 x 10-11",,0.3428,'-,"0.0317 unit decrease",[0.022-0.041],SBF2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,11:9830928
rs116861182-<b>C</b>,"6 x 10-9",,0.0549,'-,"0.0637 unit increase",[0.042-0.085],"OR5L2, OR5D18","Type 2 diabetes","type II diabetes mellitus",GCST010555,11:55820740
rs174541-<b>C</b>,"9 x 10-10",,0.354,'-,"0.0292 unit decrease",[0.02-0.039],FADS2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,11:61798436
rs35169799-<b>C</b>,"5 x 10-8",,0.9343,'-,"0.0504 unit decrease",[0.032-0.068],PLCB3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,11:64263769
rs10899283-<b>C</b>,"1 x 10-8",,0.7712,'-,"0.0314 unit increase",[0.021-0.042],TSKU,"Type 2 diabetes","type II diabetes mellitus",GCST010555,11:76794158
rs67013744-<b>G</b>,"4 x 10-8",,0.1604,'-,"0.035 unit increase",[0.022-0.048],CHD4,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:6572620
rs10841868-<b>G</b>,"2 x 10-9",,0.7394,'-,"0.0315 unit increase",[0.021-0.042],"LDHB, GYS2","Type 2 diabetes","type II diabetes mellitus",GCST010555,12:21628312
rs10844518-<b>G</b>,"9 x 10-11",,0.2872,'-,"0.0326 unit increase",[0.023-0.042],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:33257845
rs2733289-<b>C</b>,"4 x 10-11",,0.4775,'-,"0.0301 unit increase",[0.021-0.039],PDZRN4,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:41444433
rs11181613-<b>C</b>,"1 x 10-10",,0.8547,'-,"0.043 unit increase",[0.03-0.056],LINC02451,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:42652647
rs2732480-<b>C</b>,"3 x 10-13",,0.5648,'-,"0.0337 unit increase",[0.025-0.043],ZNF641,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:48342520
rs7132908-<b>G</b>,"1 x 10-12",,0.6102,'-,"0.033 unit decrease",[0.024-0.042],FAIM2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:49869365
rs1872635-<b>G</b>,"1 x 10-8",,0.3136,'-,"0.0282 unit decrease",[0.019-0.038],SMUG1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:54147966
rs11830243-<b>C</b>,"2 x 10-9",,0.887,'-,"0.0442 unit decrease",[0.03-0.059],EP400,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:132060149
rs12305809-<b>G</b>,"1 x 10-12",,0.6065,'-,"0.0333 unit increase",[0.024-0.043],ZNF268,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:133200880
rs314879-<b>C</b>,"6 x 10-12",,0.2262,'-,"0.0393 unit increase",[0.028-0.05],"DDX39AP1, SNORD36","Type 2 diabetes","type II diabetes mellitus",GCST010555,13:22735243
rs11680058-<b>G</b>,"1 x 10-8",,0.162,'-,"0.0556 unit decrease",[0.036-0.075],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:16393401
rs34845373-<b>G</b>,"1 x 10-12",,0.2711,'-,"0.0372 unit decrease",[0.027-0.047],DTNB,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:25412902
rs13414140-<b>C</b>,"4 x 10-60",,0.8858,'-,"0.1183 unit increase",[0.1-0.13],THADA,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:43444037
rs980183-<b>G</b>,"1 x 10-14",,0.3942,'-,"0.0363 unit increase",[0.027-0.046],LINC01122,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:59084401
rs243018-<b>G</b>,"2 x 10-33",,0.463,'-,"0.056 unit increase",[0.047-0.065],MIR4432HG,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:60359572
rs2540949-<b>T</b>,"9 x 10-26",,0.3842,'-,"0.0496 unit decrease",[0.04-0.059],CEP68,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:65057097
rs72836348-<b>G</b>,"3 x 10-13",,0.8917,'-,"0.0562 unit increase",[0.041-0.071],"MIR4435-2HG, BCL2L11","Type 2 diabetes","type II diabetes mellitus",GCST010555,2:111130466
rs9784137-<b>G</b>,"5 x 10-21",,0.849,'-,"0.0608 unit increase",[0.048-0.074],Y_RNA,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:120568332
rs7559658-<b>C</b>,"3 x 10-9",,0.1899,'-,"0.0344 unit increase",[0.023-0.046],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:147162645
rs7568172-<b>G</b>,"3 x 10-12",,0.9396,'-,"0.0674 unit increase",[0.049-0.086],CYTIP,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:157478828
rs6432613-<b>G</b>,"7 x 10-14",,0.7236,'-,"0.0393 unit increase",[0.029-0.05],RBMS1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:160289101
rs2972145-<b>C</b>,"7 x 10-80",,0.6354,'-,"0.09 unit increase",[0.081-0.099],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:226236593
rs7561798-<b>G</b>,"1 x 10-9",,0.4852,'-,"0.0281 unit increase",[0.019-0.037],SPHKAP,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:228108944
rs838735-<b>G</b>,"4 x 10-10",,0.6157,'-,"0.0294 unit decrease",[0.02-0.039],DGKD,"Type 2 diabetes","type II diabetes mellitus",GCST010555,2:233415546
rs17036160-<b>C</b>,"3 x 10-47",,0.8796,'-,"0.1028 unit increase",[0.089-0.117],PPARG,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:12288284
rs35352848-<b>C</b>,"7 x 10-28",,0.2069,'-,"0.0623 unit decrease",[0.051-0.073],UBE2E2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:23414091
rs62262091-<b>C</b>,"1 x 10-10",,0.9106,'-,"0.0557 unit decrease",[0.039-0.073],SMARCC1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:47652174
rs4688760-<b>C</b>,"1 x 10-11",,0.326,'-,"0.034 unit decrease",[0.024-0.044],RBM6,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:49943163
rs2581787-<b>G</b>,"3 x 10-8",,0.4421,'-,"0.0254 unit decrease",[0.016-0.034],RFT1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:53093661
rs76263492-<b>G</b>,"2 x 10-8",,0.9569,'-,"0.0675 unit decrease",[0.044-0.091],CACNA2D3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:54794800
rs2292662-<b>C</b>,"8 x 10-18",,0.8436,'-,"0.0556 unit increase",[0.043-0.068],"SCAANT1, ATXN7","Type 2 diabetes","type II diabetes mellitus",GCST010555,3:63911539
rs4132228-<b>C</b>,"6 x 10-21",,0.7026,'-,"0.0471 unit increase",[0.037-0.057],ADAMTS9-AS2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:64722438
rs11922794-<b>G</b>,"1 x 10-8",,0.7494,'-,"0.0301 unit decrease",[0.02-0.04],SHQ1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:72764431
rs11708067-<b>G</b>,"2 x 10-46",,0.2286,'-,"0.0782 unit decrease",[0.067-0.089],ADCY5,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:123346931
rs9873519-<b>C</b>,"4 x 10-16",,0.466,'-,"0.0375 unit decrease",[0.028-0.047],SLC12A8,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:125202613
rs9828772-<b>G</b>,"3 x 10-11",,0.1013,'-,"0.0517 unit decrease",[0.036-0.067],"TMCC1, PLXND1","Type 2 diabetes","type II diabetes mellitus",GCST010555,3:129614339
rs62271373-<b>T</b>,"4 x 10-11",,0.9442,'-,"0.0685 unit decrease",[0.048-0.089],"TSC22D2, LINC01214","Type 2 diabetes","type II diabetes mellitus",GCST010555,3:150348753
rs74672008-<b>G</b>,"1 x 10-11",,0.9601,'-,"0.0804 unit increase",[0.057-0.104],ATP5MGP5,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:152733827
rs1449348-<b>C</b>,"7 x 10-12",,0.8585,'-,"0.0448 unit increase",[0.032-0.058],EGFEM1P,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:168507267
rs9873618-<b>G</b>,"2 x 10-30",,0.7094,'-,"0.0581 unit increase",[0.048-0.068],SLC2A2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:171015287
rs2313211-<b>T</b>,"4 x 10-10",,0.4483,'-,"0.0285 unit increase",[0.019-0.038],"EEF1A1P8, ABCC5","Type 2 diabetes","type II diabetes mellitus",GCST010555,3:184020838
rs9854769-<b>G</b>,"1 x 10-107",,0.319,'-,"0.1075 unit increase",[0.098-0.117],IGF2BP2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:185803160
rs3887925-<b>C</b>,"7 x 10-20",,0.4548,'-,"0.0424 unit decrease",[0.033-0.051],ST6GAL1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:186947857
rs6777684-<b>G</b>,"4 x 10-33",,0.6076,'-,"0.0569 unit increase",[0.048-0.066],LINC01991,"Type 2 diabetes","type II diabetes mellitus",GCST010555,3:188024054
rs1531583-<b>G</b>,"7 x 10-19",,0.9553,'-,"0.0994 unit decrease",[0.077-0.121],PCGF3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:751184
rs72501964-<b>G</b>,"2 x 10-10",,0.9606,'-,"0.0831 unit increase",[0.057-0.109],CTBP1-DT,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:1273415
rs56337234-<b>C</b>,"2 x 10-18",,0.5048,'-,"0.0409 unit increase",[0.032-0.05],"FGFR3, TACC3","Type 2 diabetes","type II diabetes mellitus",GCST010555,4:1782676
rs362307-<b>C</b>,"4 x 10-8",,0.9249,'-,"0.0499 unit decrease",[0.032-0.068],HTT,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:3240118
rs10937721-<b>G</b>,"6 x 10-70",,0.412,'-,"0.0835 unit decrease",[0.074-0.093],"PPP2R2C, WFS1","Type 2 diabetes","type II diabetes mellitus",GCST010555,4:6305036
rs2011603-<b>G</b>,"2 x 10-13",,0.2752,'-,"0.0383 unit decrease",[0.028-0.048],LCORL,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:18023861
rs10938398-<b>G</b>,"4 x 10-20",,0.5687,'-,"0.0425 unit decrease",[0.033-0.052],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:45184122
rs114447556-<b>C</b>,"8 x 10-11",,0.9166,'-,"0.0578 unit decrease",[0.04-0.075],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:52340927
rs10471048-<b>G</b>,"2 x 10-12",,0.3487,'-,"0.0337 unit increase",[0.024-0.043],SCD5,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:82666409
rs987949-<b>G</b>,"6 x 10-9",,0.9605,'-,"0.153 unit decrease",[0.1-0.2],NKX6-1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:84462916
rs7660000-<b>C</b>,"1 x 10-9",,0.7131,'-,"0.0309 unit increase",[0.021-0.041],FAM13A,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:88830707
rs6821438-<b>G</b>,"4 x 10-10",,0.4691,'-,"0.0289 unit decrease",[0.02-0.038],HMGB3P15,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:94170760
rs7695096-<b>C</b>,"1 x 10-16",,0.5208,'-,"0.0381 unit increase",[0.029-0.047],SLC9B1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:103011399
rs1724557-<b>C</b>,"5 x 10-8",,0.4175,'-,"0.0254 unit increase",[0.016-0.035],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,4:136172893
rs1705263-<b>C</b>,"1 x 10-17",,0.5688,'-,"0.0398 unit increase",[0.031-0.049],TSPAN8,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:71129263
rs11108094-<b>C</b>,"1 x 10-10",,0.9318,'-,"0.0601 unit decrease",[0.042-0.078],USP44,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:95534337
rs113036477-<b>C</b>,"4 x 10-13",,0.9381,'-,"0.0715 unit increase",[0.052-0.091],RMST,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:97454449
rs3764002-<b>C</b>,"3 x 10-14",,0.7412,'-,"0.0396 unit increase",[0.029-0.05],WSCD2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:108224853
rs34965774-<b>G</b>,"1 x 10-14",,0.8623,'-,"0.0521 unit decrease",[0.039-0.065],"KSR2, RFC5","Type 2 diabetes","type II diabetes mellitus",GCST010555,12:117974568
rs56348580-<b>G</b>,"2 x 10-30",,0.6958,'-,"0.0575 unit increase",[0.048-0.067],HNF1A,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:120994314
rs12820906-<b>G</b>,"2 x 10-15",,0.2436,'-,"0.0433 unit decrease",[0.033-0.054],PITPNM2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:123008576
rs12823740-<b>C</b>,"1 x 10-17",,0.6614,'-,"0.041 unit increase",[0.032-0.05],"ZNF664, RFLNA","Type 2 diabetes","type II diabetes mellitus",GCST010555,12:123973455
rs11614914-<b>C</b>,"5 x 10-15",,0.6746,'-,"0.0389 unit decrease",[0.029-0.049],FBRSL1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,12:132493708
rs34584161-<b>G</b>,"4 x 10-22",,0.2394,'-,"0.0521 unit decrease",[0.042-0.063],RNF6,"Type 2 diabetes","type II diabetes mellitus",GCST010555,13:26202862
rs3742305-<b>G</b>,"2 x 10-8",,0.2708,'-,"0.03 unit decrease",[0.02-0.04],HMGB1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,13:30462505
rs576674-<b>G</b>,"1 x 10-23",,0.1848,'-,"0.0612 unit increase",[0.049-0.073],"KL, TOMM22P3","Type 2 diabetes","type II diabetes mellitus",GCST010555,13:32980164
rs9316500-<b>G</b>,"1 x 10-20",,0.2924,'-,"0.0473 unit decrease",[0.037-0.057],"DLEU7, DLEU1","Type 2 diabetes","type II diabetes mellitus",GCST010555,13:50519978
rs9563574-<b>C</b>,"2 x 10-11",,0.177,'-,"0.0406 unit decrease",[0.029-0.052],"LINC02338, RNA5SP30","Type 2 diabetes","type II diabetes mellitus",GCST010555,13:58082465
rs11616380-<b>G</b>,"8 x 10-54",,0.7206,'-,"0.0793 unit increase",[0.069-0.089],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,13:80131180
